cve_id,description,cvss_v3,cvss_v2,severity_v3,severity_v2,source,description_short
CVE-2013-4352,"The cache_invalidate function in modules/cache/cache_storage.c in the mod_cache module in the Apache HTTP Server 2.4.6, when a caching forward proxy is enabled, allows remote HTTP servers to cause a denial of service (NULL pointer dereference and daemon crash) via vectors that trigger a missing hostname value.",,4.3,,MEDIUM,keyword:Apache 2.4.6,The cache_invalidate function in modules/cache/cache_storage.c in the mod_cache module in the Apache
CVE-2015-1833,"XML external entity (XXE) vulnerability in Apache Jackrabbit before 2.0.6, 2.2.x before 2.2.14, 2.4.x before 2.4.6, 2.6.x before 2.6.6, 2.8.x before 2.8.1, and 2.10.x before 2.10.1 allows remote attackers to read arbitrary files and send requests to intranet servers via a crafted WebDAV request.",,6.4,,MEDIUM,keyword:Apache 2.4.6,"XML external entity (XXE) vulnerability in Apache Jackrabbit before 2.0.6, 2.2.x before 2.2.14, 2.4."
CVE-2016-6801,"Cross-site request forgery (CSRF) vulnerability in the CSRF content-type check in Jackrabbit-Webdav in Apache Jackrabbit 2.4.x before 2.4.6, 2.6.x before 2.6.6, 2.8.x before 2.8.3, 2.10.x before 2.10.4, 2.12.x before 2.12.4, and 2.13.x before 2.13.3 allows remote attackers to hijack the authentication of unspecified victims for requests that create a resource via an HTTP POST request with a (1) missing or (2) crafted Content-Type header.",8.8,6.8,HIGH,MEDIUM,keyword:Apache 2.4.6,Cross-site request forgery (CSRF) vulnerability in the CSRF content-type check in Jackrabbit-Webdav 
CVE-2019-17567,"Apache HTTP Server versions 2.4.6 to 2.4.46 mod_proxy_wstunnel configured on an URL that is not necessarily Upgraded by the origin server was tunneling the whole connection regardless, thus allowing for subsequent requests on the same connection to pass through with no HTTP validation, authentication or authorization possibly configured.",5.3,5.0,MEDIUM,MEDIUM,keyword:Apache 2.4.6,Apache HTTP Server versions 2.4.6 to 2.4.46 mod_proxy_wstunnel configured on an URL that is not nece
CVE-2024-38472,"SSRF in Apache HTTP Server on Windows allows to potentially leak NTLM hashes to a malicious server via SSRF and malicious requests or content 
Users are recommended to upgrade to version 2.4.60 which fixes this issue.  Note: Existing configurations that access UNC paths will have to configure new directive ""UNCList"" to allow access during request processing.",7.5,,HIGH,,keyword:Apache 2.4.6,SSRF in Apache HTTP Server on Windows allows to potentially leak NTLM hashes to a malicious server v
CVE-2024-38473,"Encoding problem in mod_proxy in Apache HTTP Server 2.4.59 and earlier allows request URLs with incorrect encoding to be sent to backend services, potentially bypassing authentication via crafted requests.
Users are recommended to upgrade to version 2.4.60, which fixes this issue.",8.1,,HIGH,,keyword:Apache 2.4.6,Encoding problem in mod_proxy in Apache HTTP Server 2.4.59 and earlier allows request URLs with inco
CVE-2024-38474,"Substitution encoding issue in mod_rewrite in Apache HTTP Server 2.4.59 and earlier allows attacker to execute scripts in
directories permitted by the configuration but not directly reachable by any URL or source disclosure of scripts meant to only to be executed as CGI.

Users are recommended to upgrade to version 2.4.60, which fixes this issue.

Some RewriteRules that capture and substitute unsafely will now fail unless rewrite flag ""UnsafeAllow3F"" is specified.",9.8,,CRITICAL,,keyword:Apache 2.4.6,Substitution encoding issue in mod_rewrite in Apache HTTP Server 2.4.59 and earlier allows attacker 
CVE-2024-38476,"Vulnerability in core of Apache HTTP Server 2.4.59 and earlier are vulnerably to information disclosure, SSRF or local script execution via backend applications whose response headers are malicious or exploitable.

Users are recommended to upgrade to version 2.4.60, which fixes this issue.",9.8,,CRITICAL,,keyword:Apache 2.4.6,Vulnerability in core of Apache HTTP Server 2.4.59 and earlier are vulnerably to information disclos
CVE-2024-38477,"null pointer dereference in mod_proxy in Apache HTTP Server 2.4.59 and earlier allows an attacker to crash the server via a malicious request.
Users are recommended to upgrade to version 2.4.60, which fixes this issue.",7.5,,HIGH,,keyword:Apache 2.4.6,null pointer dereference in mod_proxy in Apache HTTP Server 2.4.59 and earlier allows an attacker to
CVE-2024-39573,"Potential SSRF in mod_rewrite in Apache HTTP Server 2.4.59 and earlier allows an attacker to cause unsafe RewriteRules to unexpectedly setup URL's to be handled by mod_proxy.
Users are recommended to upgrade to version 2.4.60, which fixes this issue.",7.5,,HIGH,,keyword:Apache 2.4.6,Potential SSRF in mod_rewrite in Apache HTTP Server 2.4.59 and earlier allows an attacker to cause u
